site_id,date,season,scene_id,platform,n_valid_pixels,lst_c_median,ndvi_median,albedo_median
control_1_C5,2024-02-21,winter,LC09_L2SP_202033_20240221_02_T1,landsat-9,315,14.891635580000013,0.7417781693748334,0.20146958000000004
control_2_C1,2024-02-21,winter,LC09_L2SP_202033_20240221_02_T1,landsat-9,312,14.19948653000003,0.7358589144928664,0.19577228125
treatment,2024-01-20,winter,LC09_L2SP_202033_20240120_02_T1,landsat-9,8743,13.110847160000048,0.35370289538774907,0.10592300250000002
control_1_C5,2024-01-20,winter,LC09_L2SP_202033_20240120_02_T1,landsat-9,315,12.133293439999989,0.7676771837328722,0.1768764675
control_2_C1,2024-01-20,winter,LC09_L2SP_202033_20240120_02_T1,landsat-9,312,11.036109020000026,0.724939454858994,0.14947473875
treatment,2023-12-19,winter,LC09_L2SP_202033_20231219_02_T1,landsat-9,8743,14.730988640000021,0.3002944214079816,0.10789043499999999
control_1_C5,2023-12-19,winter,LC09_L2SP_202033_20231219_02_T1,landsat-9,315,13.06299488000002,0.7326435419028967,0.1712530475
control_2_C1,2023-12-19,winter,LC09_L2SP_202033_20231219_02_T1,landsat-9,312,12.403317020000031,0.6048117782606024,0.13549346375
treatment,2023-11-25,transition,LC08_L2SP_202033_20231125_02_T1,landsat-8,8743,16.357966160000046,0.23834674981704804,0.1126005525
control_1_C5,2023-11-25,transition,LC08_L2SP_202033_20231125_02_T1,landsat-8,315,17.048406200000045,0.6325468329396254,0.177225525
control_2_C1,2023-11-25,transition,LC08_L2SP_202033_20231125_02_T1,landsat-8,312,16.31524091000003,0.48841614650567644,0.13919675125000003
treatment,2023-10-08,transition,LC08_L2SP_202033_20231008_02_T1,landsat-8,8743,43.09371859999999,0.15389954337899542,0.16649805
control_1_C5,2023-10-08,transition,LC08_L2SP_202033_20231008_02_T1,landsat-8,315,45.21972704000001,0.19652021186091825,0.20017526500000005
control_2_C1,2023-10-08,transition,LC08_L2SP_202033_20231008_02_T1,landsat-8,312,43.86448211000004,0.2557502832163057,0.17061610625
treatment,2023-09-30,transition,LC09_L2SP_202033_20230930_02_T1,landsat-9,8743,44.83007276000001,0.1631601423487546,0.14812683999999998
control_1_C5,2023-09-30,transition,LC09_L2SP_202033_20230930_02_T1,landsat-9,315,47.11331012000005,0.20307861875477504,0.19717006500000003
control_2_C1,2023-09-30,transition,LC09_L2SP_202033_20230930_02_T1,landsat-9,312,46.026379760000026,0.26520904922336574,0.168599105
treatment,2023-09-22,transition,LC08_L2SP_202033_20230922_02_T1,landsat-8,1930,24.559505150000035,0.1818246620907455,0.1633790825
treatment,2023-09-06,transition,LC08_L2SP_202033_20230906_02_T1,landsat-8,8743,36.97546280000006,0.17437757789593997,0.14952947750000004
control_1_C5,2023-09-06,transition,LC08_L2SP_202033_20230906_02_T1,landsat-8,315,41.15228324000003,0.21711560701152557,0.20175783500000002
control_2_C1,2023-09-06,transition,LC08_L2SP_202033_20230906_02_T1,landsat-8,312,39.75944009000003,0.2648454415649342,0.17967584375
treatment,2023-08-29,summer,LC09_L2SP_202033_20230829_02_T1,landsat-9,8743,43.59616754000001,0.1547458494163605,0.158317845
control_1_C5,2023-08-29,summer,LC09_L2SP_202033_20230829_02_T1,landsat-9,315,46.47755840000002,0.19341320372530083,0.2183127525
control_2_C1,2023-08-29,summer,LC09_L2SP_202033_20230829_02_T1,landsat-9,312,47.27737508000001,0.24124903925586738,0.19270893249999999
treatment,2023-08-21,summer,LC08_L2SP_202033_20230821_02_T1,landsat-8,8743,55.78140884000004,0.16033257615469731,0.16155374249999999
control_1_C5,2023-08-21,summer,LC08_L2SP_202033_20230821_02_T1,landsat-8,315,59.15841260000002,0.19039445416491332,0.22147305250000002
control_2_C1,2023-08-21,summer,LC08_L2SP_202033_20230821_02_T1,landsat-8,312,58.82686466000001,0.2317977565323559,0.19815720500000003
treatment,2023-08-13,summer,LC09_L2SP_202033_20230813_02_T1,landsat-9,8743,51.93271832000005,0.16274802156210566,0.1570881275
control_1_C5,2023-08-13,summer,LC09_L2SP_202033_20230813_02_T1,landsat-9,315,55.71646645999999,0.19301767251948887,0.22201681
control_2_C1,2023-08-13,summer,LC09_L2SP_202033_20230813_02_T1,landsat-9,312,54.620991050000015,0.2375259074822904,0.19762931500000003
treatment,2023-08-05,summer,LC08_L2SP_202033_20230805_02_T1,landsat-8,8743,50.75350142000002,0.16734851782001064,0.1542513925
control_1_C5,2023-08-05,summer,LC08_L2SP_202033_20230805_02_T1,landsat-8,315,53.40246692000005,0.19412244339402104,0.22089516750000002
control_2_C1,2023-08-05,summer,LC08_L2SP_202033_20230805_02_T1,landsat-8,312,53.31530741,0.24215263850051458,0.195437455
treatment,2023-07-28,summer,LC09_L2SP_202033_20230728_02_T1,landsat-9,8743,49.39996550000001,0.17044842922296816,0.15368060249999999
control_1_C5,2023-07-28,summer,LC09_L2SP_202033_20230728_02_T1,landsat-9,315,54.91664978000006,0.19618918549908215,0.22069373
control_2_C1,2023-07-28,summer,LC09_L2SP_202033_20230728_02_T1,landsat-9,312,53.498171480000025,0.2436796612068074,0.1975202225
treatment,2023-07-20,summer,LC08_L2SP_202033_20230720_02_T1,landsat-8,8743,51.08163134000006,0.17282713505133196,0.1498523275
control_1_C5,2023-07-20,summer,LC08_L2SP_202033_20230720_02_T1,landsat-8,315,55.35757436000006,0.19569240734742976,0.21953996750000002
control_2_C1,2023-07-20,summer,LC08_L2SP_202033_20230720_02_T1,landsat-8,312,55.43618882000001,0.24562661724627258,0.19500175874999998
treatment,2023-07-12,summer,LC09_L2SP_202033_20230712_02_T1,landsat-9,8743,48.877008440000054,0.17742450484272043,0.1472530825
control_1_C5,2023-07-12,summer,LC09_L2SP_202033_20230712_02_T1,landsat-9,315,53.40246692000005,0.1996108994476162,0.2171899275
control_2_C1,2023-07-12,summer,LC09_L2SP_202033_20230712_02_T1,landsat-9,312,53.35290563000004,0.2522736100360868,0.19269525125
treatment,2023-07-04,summer,LC08_L2SP_202033_20230704_02_T1,landsat-8,8743,49.71100532000003,0.18496780205566132,0.14168397500000002
control_1_C5,2023-07-04,summer,LC08_L2SP_202033_20230704_02_T1,landsat-8,315,53.62122020000004,0.20524528608017434,0.21257078000000004
control_2_C1,2023-07-04,summer,LC08_L2SP_202033_20230704_02_T1,landsat-8,312,52.94787026,0.2598432236690036,0.18803584375000001
treatment,2023-06-26,summer,LC09_L2SP_202033_20230626_02_T1,landsat-9,8743,49.89216038000001,0.1974698321560031,0.136206745
control_1_C5,2023-06-26,summer,LC09_L2SP_202033_20230626_02_T1,landsat-9,315,51.337982839999995,0.2248599660142237,0.2031843425
control_2_C1,2023-06-26,summer,LC09_L2SP_202033_20230626_02_T1,landsat-9,312,51.92417327000001,0.27555186349611244,0.17991545125
treatment,2023-06-18,summer,LC08_L2SP_202033_20230618_02_T1,landsat-8,8743,49.98444691999998,0.18437767303037475,0.1334835575
control_1_C5,2023-06-18,summer,LC08_L2SP_202033_20230618_02_T1,landsat-8,315,52.15830764000003,0.2118583845046554,0.18746229
control_2_C1,2023-06-18,summer,LC08_L2SP_202033_20230618_02_T1,landsat-8,312,53.09997215000001,0.25398224555374815,0.17956922625
treatment,2023-05-25,transition,LC09_L2SP_202033_20230525_02_T1,landsat-9,5023,42.72457244000003,0.2394718058529621,0.1449622225
control_1_C5,2023-05-25,transition,LC09_L2SP_202033_20230525_02_T1,landsat-9,251,42.87838334000003,0.2476154492023509,0.22134913750000001
control_2_C1,2023-05-25,transition,LC09_L2SP_202033_20230525_02_T1,landsat-9,312,45.26416130000001,0.28973692567082554,0.20344883749999998
treatment,2023-05-09,transition,LC09_L2SP_202033_20230509_02_T1,landsat-9,7612,31.021271960000036,0.2902889817652181,0.15966557875
control_1_C5,2023-05-09,transition,LC09_L2SP_202033_20230509_02_T1,landsat-9,315,33.577950920000035,0.2600897788626631,0.2209018775
